county,sub_county,admin_area,pop_total,pop_male,pop_female,mpo_total,mpo_total_perc,mpo_male,mpo_male_perc,mpo_female,mpo_female_perc,uo_i_total,uo_i_total_perc,uo_i_male,uo_i_male_perc,uo_i_female,uo_i_female_perc,uo_dlt_total,uo_dlt_total_perc,uo_dlt_male,uo_dlt_male_perc,uo_dlt_female,uo_dlt_female_perc
Xxx,KENYA,National,43739906,21574077,22164531,20694315,47.3,10268651,47.6,10425040,47,9869962,22.6,5408981,25.1,4460639,20.1,4527254,10.4,2529413,11.7,1997664,9
Xxx,RURAL*,Rural-Urban,30253081,14939183,15313145,12249934,40.5,6073556,40.7,6176120,40.3,4139595,13.7,2404991,16.1,1734502,11.3,1614287,5.3,937948,6.3,676295,4.4
Xxx,URBAN*,Rural-Urban,13486825,6634894,6851386,8444381,62.6,4195095,63.2,4248920,62,5730367,42.5,3003990,45.3,2726137,39.8,2912967,21.6,1591465,24,1321369,19.3
Mombasa,MOMBASA,County,1100173,552476,547681,679402,61.8,353192,63.9,326200,59.6,431327,39.2,232526,42.1,198792,36.3,184713,16.8,104805,19,79904,14.6
Mombasa,CHANGAMWE,SubCounty,121334,63184,58150,79248,65.3,42684,67.6,36564,62.9,48368,39.9,27252,43.1,21116,36.3,18986,15.6,11455,18.1,7531,13
Mombasa,JOMVU,SubCounty,149699,75931,73765,88469,59.1,46928,61.8,41539,56.3,48246,32.2,27583,36.3,20662,28,19386,12.9,11739,15.5,7646,10.4
Mombasa,KISAUNI,SubCounty,263742,131351,132388,154731,58.7,80185,61,74544,56.3,93781,35.6,50503,38.4,43275,32.7,40374,15.3,22737,17.3,17636,13.3
Mombasa,LIKONI,SubCounty,228472,115784,112685,134590,58.9,72030,62.2,62559,55.5,75298,33,43018,37.2,32279,28.6,27252,11.9,16461,14.2,10791,9.6
Mombasa,MVITA,SubCounty,138927,66589,72336,92190,66.4,44154,66.3,48036,66.4,76664,55.2,37260,56,39404,54.5,35671,25.7,18957,28.5,16714,23.1
Mombasa,NYALI,SubCounty,197999,99637,98357,130174,65.7,67211,67.5,62958,64,88970,44.9,46910,47.1,42056,42.8,43044,21.7,23456,23.5,19586,19.9
Kwale,KWALE,County,783189,382538,400636,287765,36.7,151386,39.6,136374,34,97240,12.4,57487,15,39749,9.9,35746,4.6,21196,5.5,14547,3.6
Kwale,KINANGO,SubCounty,84534,40445,44088,24431,28.9,12455,30.8,11976,27.2,5279,6.2,3195,7.9,2084,4.7,2240,2.6,1372,3.4,868,2
Kwale,LUNGALUNGA,SubCounty,180056,87893,92161,54913,30.5,29413,33.5,25500,27.7,12948,7.2,8218,9.4,4730,5.1,4324,2.4,2715,3.1,1609,1.7
Kwale,MATUGA,SubCounty,177675,87377,90296,70107,39.5,36575,41.9,33531,37.1,23507,13.2,13660,15.6,9847,10.9,7769,4.4,4609,5.3,3160,3.5
Kwale,MSAMBWENI,SubCounty,159936,80181,79752,80641,50.4,42969,53.6,37670,47.2,40774,25.5,23161,28.9,17610,22.1,16176,10.1,9245,11.5,6928,8.7
Kwale,SAMBURU-KWALE,SubCounty,180988,86642,94339,57673,31.9,29974,34.6,27697,29.4,14732,8.1,9253,10.7,5478,5.8,5237,2.9,3255,3.8,1982,2.1
Kilifi,KILIFI,County,1323664,636891,686754,520866,39.4,268321,42.1,252540,36.8,200190,15.1,118420,18.6,81770,11.9,87064,6.6,50667,8,36397,5.3
Kilifi,CHONYI,SubCounty,57246,26917,30328,17874,31.2,8923,33.2,8951,29.5,3965,6.9,2642,9.8,1323,4.4,1419,2.5,916,3.4,503,1.7
Kilifi,GANZE,SubCounty,131101,60552,70546,39293,30,18317,30.3,20976,29.7,8884,6.8,5497,9.1,3387,4.8,4319,3.3,2597,4.3,1722,2.4
Kilifi,KALOLENI,SubCounty,176734,83996,92733,62072,35.1,31581,37.6,30491,32.9,20300,11.5,12198,14.5,8102,8.7,9086,5.1,5455,6.5,3631,3.9
Kilifi,KAUMA,SubCounty,20821,10054,10767,6666,32,3492,34.7,3174,29.5,1289,6.2,846,8.4,443,4.1,462,2.2,293,2.9,169,1.6
Kilifi,KILIFI NORTH,SubCounty,162990,78763,84225,72985,44.8,37368,47.4,35617,42.3,32694,20.1,19053,24.2,13641,16.2,16090,9.9,9274,11.8,6816,8.1
Kilifi,KILIFI SOUTH,SubCounty,187663,91863,95799,90113,48,46750,50.9,43362,45.3,41751,22.2,23511,25.6,18240,19,17051,9.1,9659,10.5,7392,7.7
Kilifi,MAGARINI,SubCounty,174553,84429,90124,53914,30.9,28957,34.3,24957,27.7,14916,8.5,9722,11.5,5194,5.8,6580,3.8,4032,4.8,2548,2.8
Kilifi,MALINDI,SubCounty,301205,146545,154653,134437,44.6,69612,47.5,64821,41.9,62682,20.8,36360,24.8,26322,17,26991,9,15364,10.5,11627,7.5
Kilifi,RABAI,SubCounty,111351,53772,57579,43512,39.1,23321,43.4,20191,35.1,13709,12.3,8591,16,5118,8.9,5066,4.5,3077,5.7,1989,3.5
Tana River,TANA RIVER,County,284605,142087,142516,90043,31.6,50282,35.4,39761,27.9,25256,8.9,16523,11.6,8733,6.1,8985,3.2,5689,4,3296,2.3
Tana River,TANA DELTA,SubCounty,99792,50066,49726,30558,30.6,17206,34.4,13352,26.9,8398,8.4,5557,11.1,2841,5.7,3055,3.1,1945,3.9,1110,2.2
Tana River,TANA NORTH,SubCounty,105495,53199,52294,34954,33.1,19076,35.9,15878,30.4,8825,8.4,5795,10.9,3030,5.8,2153,2,1359,2.6,794,1.5
Tana River,TANA RIVER,SubCounty,79318,38822,40496,24531,30.9,14000,36.1,10531,26,8033,10.1,5171,13.3,2862,7.1,3777,4.8,2385,6.1,1392,3.4
Lamu,LAMU,County,130991,69111,61877,59256,45.2,33849,49,25406,41.1,25473,19.4,16171,23.4,9301,15,8101,6.2,5276,7.6,2825,4.6
Lamu,LAMU EAST,SubCounty,20637,10805,9832,7913,38.3,4616,42.7,3297,33.5,3385,16.4,2232,20.7,1153,11.7,844,4.1,633,5.9,211,2.1
Lamu,LAMU WEST,SubCounty,110354,58306,52045,51343,46.5,29233,50.1,22109,42.5,22088,20,13939,23.9,8148,15.7,7257,6.6,4643,8,2614,5
